,Sex,State,Age Group,Year,Deaths_x,Population,Crude Rate_x,Deaths_y,Crude Rate_y
220,Females,California,00-04 yrs,1999.0,0,1226389,0.0,39,3.18
221,,California,00-04 yrs,1999.0,0,2512147,0.0,75,2.99
222,Males,California,05-09 yrs,1999.0,0,1408253,0.0,13,0.92
223,Females,California,05-09 yrs,1999.0,0,1340635,0.0,0,0.0
224,,California,05-09 yrs,1999.0,10,2748888,0.36,S,0.0
225,Males,California,10-14 yrs,1999.0,21,1279635,1.64,27,2.11
226,Females,California,10-14 yrs,1999.0,0,1218255,0.0,10,0.82
227,,California,10-14 yrs,1999.0,S,2497890,0.0,37,1.48
228,Males,California,15-19 yrs,1999.0,249,1248484,19.94,275,22.03
229,Females,California,15-19 yrs,1999.0,30,1154633,2.6,44,3.81
230,,California,15-19 yrs,1999.0,279,2403117,11.61,319,13.27
231,Males,California,20-24 yrs,1999.0,318,1207242,26.34,371,30.73
232,Females,California,20-24 yrs,1999.0,21,1095927,1.92,42,3.83
233,,California,20-24 yrs,1999.0,339,2303169,14.72,413,17.93
234,Males,California,25-29 yrs,1999.0,210,1322659,15.88,263,19.88
235,Females,California,25-29 yrs,1999.0,20,1241325,1.61,35,2.82
236,,California,25-29 yrs,1999.0,230,2563984,8.97,298,11.62
237,Males,California,30-34 yrs,1999.0,122,1396298,8.74,166,11.89
238,Females,California,30-34 yrs,1999.0,21,1318261,1.59,41,3.11
239,,California,30-34 yrs,1999.0,143,2714559,5.27,207,7.63
240,Males,California,35-39 yrs,1999.0,107,1438823,7.44,157,10.91
241,Females,California,35-39 yrs,1999.0,18,1391548,1.29,45,3.23
242,,California,35-39 yrs,1999.0,125,2830371,4.42,202,7.14
243,Males,California,40-44 yrs,1999.0,70,1322124,5.29,120,9.08
244,Females,California,40-44 yrs,1999.0,20,1309691,1.53,38,2.9
245,,California,40-44 yrs,1999.0,90,2631815,3.42,158,6.0
246,Males,California,45-49 yrs,1999.0,63,1122016,5.61,101,9.0
247,Females,California,45-49 yrs,1999.0,16,1146993,1.39,35,3.05
