,Sex,State,Age Group,Year,Population,Deaths SF,Crude Rate SF,Deaths SI,Crude Rate SI,Deaths HF,Crude Rate HF,Deaths HI,Crude Rate HI
260,Females,Delaware,15-19 yrs,1999,27299,0,0.0,0,0.0,0,0.0,0,0.0
261,Males,Delaware,20-24 yrs,1999,24823,0,0.0,0,0.0,0,0.0,0,0.0
262,Females,Delaware,20-24 yrs,1999,25263,0,0.0,0,0.0,0,0.0,0,0.0
263,Males,Delaware,25-29 yrs,1999,26448,0,0.0,0,0.0,0,0.0,0,0.0
264,Females,Delaware,25-29 yrs,1999,26844,0,0.0,0,0.0,0,0.0,0,0.0
265,Males,Delaware,30-34 yrs,1999,28492,0,0.0,0,0.0,0,0.0,0,0.0
266,Females,Delaware,30-34 yrs,1999,29265,0,0.0,0,0.0,0,0.0,0,0.0
267,Males,Delaware,35-39 yrs,1999,31894,0,0.0,12,37.62,0,0.0,0,0.0
268,Females,Delaware,35-39 yrs,1999,32964,0,0.0,0,0.0,0,0.0,0,0.0
269,Males,Delaware,40-44 yrs,1999,30436,0,0.0,11,36.14,0,0.0,0,0.0
270,Females,Delaware,40-44 yrs,1999,31536,0,0.0,0,0.0,0,0.0,0,0.0
271,Males,Delaware,45-49 yrs,1999,25815,0,0.0,11,42.61,0,0.0,0,0.0
272,Females,Delaware,45-49 yrs,1999,27536,0,0.0,0,0.0,0,0.0,0,0.0
273,Males,Delaware,50-54 yrs,1999,22935,0,0.0,0,0.0,0,0.0,0,0.0
274,Females,Delaware,50-54 yrs,1999,24542,0,0.0,0,0.0,0,0.0,0,0.0
275,Males,Delaware,55-59 yrs,1999,18193,0,0.0,0,0.0,0,0.0,0,0.0
276,Females,Delaware,55-59 yrs,1999,19916,0,0.0,0,0.0,0,0.0,0,0.0
277,Males,Delaware,60-64 yrs,1999,15037,0,0.0,0,0.0,0,0.0,0,0.0
278,Females,Delaware,60-64 yrs,1999,16740,0,0.0,0,0.0,0,0.0,0,0.0
279,Males,Delaware,65-69 yrs,1999,13965,0,0.0,0,0.0,0,0.0,0,0.0
280,Females,Delaware,65-69 yrs,1999,15826,0,0.0,0,0.0,0,0.0,0,0.0
281,Males,Delaware,70-74 yrs,1999,11823,0,0.0,0,0.0,0,0.0,0,0.0
282,Females,Delaware,70-74 yrs,1999,14581,0,0.0,0,0.0,0,0.0,0,0.0
